step,allocator,blended_action,aggressive_action,balanced_action,conservative_action
174,vol_regime,0.33867648,-0.9552102,0.3159659,0.56567955
175,vol_regime,-0.6127457,-0.997928,-0.9001095,-0.4048667
176,vol_regime,-0.44413984,-0.94345087,-0.58899176,0.4897269
177,vol_regime,0.22089487,-0.76677555,0.11046219,0.44072294
178,vol_regime,0.38290155,0.2982099,0.38372254,0.39660633
179,vol_regime,-0.38808325,-0.6483508,0.06081927,-0.5691566
180,vol_regime,-0.028679812,-0.35221112,-0.2949984,0.15840137
181,vol_regime,0.20260444,0.06297886,-0.15102136,0.40268826
182,vol_regime,-0.2853522,-0.5105091,-0.258613,-0.26119566
183,vol_regime,-0.23272322,0.42463732,-0.605232,-0.15602893
184,vol_regime,0.001988864,0.42225718,-0.31014085,0.088009
185,vol_regime,-0.090784326,0.39682293,-0.17349851,-0.1306951
186,vol_regime,-0.001140523,0.032850504,-0.13101625,0.05813217
187,vol_regime,0.3384577,0.27850652,-0.14288247,0.5891197
188,vol_regime,-0.123570286,0.22440588,-0.023786783,-0.23145807
189,vol_regime,0.51361096,0.7687948,0.48834276,0.48371446
0,hmm,0.25451085,-0.0730539,0.44598126,-0.7171391
1,hmm,-0.0313297,0.36380196,0.0024110079,-0.14331889
2,hmm,0.1438126,-0.2038998,0.20210612,-0.76931936
3,hmm,0.26744086,-0.2989776,0.27039135,-0.62266177
4,hmm,0.2152995,-0.27476692,0.21649551,-0.8922696
5,hmm,0.037233137,0.022174954,0.037733436,-0.9610263
6,hmm,0.14954044,-0.35849226,0.15013385,-0.9452393
7,hmm,0.14269003,-0.74907583,0.14364529,-0.9838647
8,hmm,0.028659664,-0.5738098,0.02966392,-0.9381092
9,hmm,-0.41814712,-0.86684275,-0.41764665,-0.838951
10,hmm,-0.61739415,-0.26342845,-0.61809224,-0.48299593
11,hmm,-0.64252913,0.34227848,-0.6483183,-0.14235234
12,hmm,-0.5779792,-0.7169968,-0.57641894,-0.19796318
13,hmm,-0.46905577,0.3840903,-0.46977836,-0.9386424
14,hmm,0.06825271,0.7011615,0.06687462,-0.49392647
15,hmm,0.021534052,0.3986323,0.021527052,-0.6482823
16,hmm,-0.6606084,-0.9033123,-0.6949528,-0.0059304237
17,hmm,-0.40802854,-0.99710053,-0.40933812,-0.05894184
18,hmm,0.06840886,-0.9921478,0.14445448,-0.8123581
19,hmm,-0.35666403,-0.9687714,-0.35096836,-0.88372946
20,hmm,0.52118087,-0.42616487,0.54447436,-0.5409096
21,hmm,-0.2002152,-0.7276979,0.49009895,-0.23995304
22,hmm,-0.3027982,-0.6884032,0.3147347,-0.32352996
23,hmm,0.06825407,-0.34318495,0.12101781,0.066969156
24,hmm,0.41229758,0.71124387,0.49835432,0.41229224
25,hmm,-0.3651194,-0.011192381,-0.0081781745,-0.3651194
26,hmm,0.015462367,0.5851995,0.2357769,0.01546216
27,hmm,-0.33083373,0.8375988,0.18111181,-0.33083373
28,hmm,-0.18158586,0.85927343,0.2857151,-0.18158603
29,hmm,-0.46980783,0.82857156,-0.25000525,-0.46980786
30,hmm,0.26343817,0.8641082,0.64629006,0.26343787
31,hmm,0.025142476,0.9422147,0.2532431,0.025142431
32,hmm,0.2689383,0.9509523,0.34745336,0.2689383
33,hmm,0.25484765,0.9683118,0.2969296,0.25484765
34,hmm,0.5264137,0.98827124,0.32692778,0.5264137
